video_name,action_class_00,action_class_01,action_class_02,action_class_03,action_class_04,action_class_05,action_class_06,action_class_07,action_class_08,action_class_09,action_class_10,action_class_11,action_class_12,action_class_13,action_class_14,action_class_15,action_class_16,action_class_17,action_class_18,action_class_19,action_class_20,action_class_21,action_class_22,action_class_23,action_class_24,action_class_25,action_class_26,action_class_27,action_class_28,action_class_29,action_class_30,action_class_31,action_class_32,action_class_33,action_class_34,action_class_35,action_class_36,action_class_37,action_class_38,action_class_39,action_class_40,action_class_41,action_class_42,action_class_43,action_class_44,action_class_45,action_class_46,action_class_47,action_class_48,action_class_49,action_class_50,action_class_51
729_t1_20240903,0.0,0.0,0.0,0.0,0.004345338149565466,0.1260148063373985,0.0014484460498551553,0.0,0.03331425914666857,0.057937841994206214,0.14194771288580524,0.0,0.0028968920997103106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014484460498551553,0.19119487858088052,0.005793784199420621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4243946926075605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014484460498551553,0.008690676299130931,0.0
731_t1_20240710,0.0,0.0,0.0,0.0,0.001947419668938656,0.005842259006815968,0.0,0.0,0.043816942551119765,0.0555014605647517,0.4566699123661148,0.002921129503407984,0.012658227848101264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002921129503407984,0.21908471275559882,0.011684518013631935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18597857838364165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000973709834469328,0.0,0.0
732_t1_20240807,0.0,0.0,0.0,0.0,0.003210272873194221,0.20545746388443015,0.04975922953451043,0.0,0.1508828250401284,0.030497592295345103,0.20064205457463885,0.008025682182985553,0.03852327447833065,0.0016051364365971105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06581059390048154,0.011235955056179773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23113964686998392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003210272873194221,0.0
735_t1_20240712,0.0,0.0,0.0,0.0,0.0,0.22297297297297297,0.0,0.0,0.13738738738738737,0.07432432432432433,0.22522522522522523,0.0,0.036036036036036036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033783783783783786,0.018018018018018018,0.038288288288288286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21396396396396397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
742_t1_20240711,0.0,0.0,0.0,0.0,0.003167898627243928,0.012671594508975712,0.0,0.0,0.13833157338965152,0.03801478352692714,0.29778247096092925,0.0021119324181626186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20380147835269272,0.0010559662090813093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22280887011615627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08025343189017951,0.0
745_t1_20240830,0.0,0.0,0.0,0.0,0.008375209380234507,0.016750418760469014,0.0,0.0,0.18592964824120603,0.011725293132328308,0.47906197654941374,0.0,0.0016750418760469012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08207705192629816,0.0033500837520938024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04355108877721943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16750418760469013,0.0
753_t1_20240611,0.0,0.0,0.0,0.0,0.003471106254419232,0.010413318763257696,0.0,0.0,0.11107540014141543,0.017355531272096162,0.7202545477919907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006942212508838464,0.0867776563604808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02950440316256347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015619978144886543,0.0
756_t1_20240806,0.0,0.0,0.0,0.0,0.004767580452920143,0.060786650774731825,0.0,0.0,0.3373063170441001,0.04886769964243146,0.17878426698450536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10607866507747318,0.0011918951132300357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15733015494636474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10488676996424315,0.0
760_t1_20240807,0.0,0.0,0.0,0.0,0.002902757619738752,0.0043541364296081275,0.0,0.0,0.0420899854862119,0.05370101596516691,0.37445573294629897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3033381712626996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2177068214804064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001451378809869376,0.0
763_t1_20240726,0.0,0.0,0.0,0.0,0.008510638297872339,0.004255319148936169,0.0,0.0,0.0028368794326241132,0.02411347517730496,0.10354609929078014,0.0014184397163120566,0.0014184397163120566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7035460992907802,0.03687943262411347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11205673758865248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014184397163120566,0.0,0.0
